商店名稱,食物總類,營業星期,營業時段,星級評價,距離靜宜大學(km),地址,電話
張記麻辣大腸麵線(靜宜店),"小吃, 羹, 麵線","一, 三, 二, 五, 四, 日",10:00-20:00,"4.2, >4",0.7,433台中市沙鹿區北勢東路401號,426527352
刈包排骨飯,"刈包, 小吃, 飯, 麵","一, 三, 二, 五, 六, 四",11:00-20:00,"4.6, >4",0.35,433台中市沙鹿區北勢東路536號,937482445
苡瑄早餐店,早餐,"一, 三, 二, 五, 六, 四, 日","00:00-06:00, 03:00-13:30","4.3, >4",,433台中市沙鹿區晉文路21號,0958206725
Viet House 越南-台灣料理,"河粉, 炒飯, 炒麵, 燴飯","一, 三, 二, 五, 六, 四, 日",10:30-21:00,"4.3, >4",,433台中市台灣大道七段101之2號,0426327281
覓 · 鍋物,火鍋,"一, 三, 二, 五, 六, 四, 日","11:30-15:00, 17:30-22:00","4.6, >4",,433台中市沙鹿區東安街7號,0426323698
深坑什麼鍋(靜宜店),火鍋,"一, 三, 二, 五, 六, 四, 日","11:00-14:00, 17:00-22:30","4.3, >4",,433台中市沙鹿區北勢東路566號,0426524932
沐鍋物,火鍋,"一, 三, 二, 五, 六, 四, 日",11:00-00:00,"4.8, >4",,43342台中市沙鹿區台灣大道七段313號,0426335699
吳抄手,"湯麵, 炒飯, 炒麵, 燴飯, 飯, 麵","一, 三, 二, 五, 六, 四, 日","11:00-14:00, 17:00-20:30","4.1, >4",,433台中市沙鹿區北勢東路520號,0426310318
幸福中西式健康早點,早餐,"一, 三, 二, 五, 六, 四",06:30-13:30,"3.7, >3<4",,433台中市沙鹿區晉文路25號,0426321616
永村農 食堂,"炒飯, 炒麵","一, 三, 二, 四, 日","11:00-14:00, 16:30-21:00","4.7, >4",,433台中市沙鹿區北英路146號,0981942243
浪人鐵板燒(靜宜店),鐵板燒,"一, 三, 二, 五, 六, 四, 日",11:00-22:00,"3.9, >3<4",,433台中市沙鹿區北勢東路585號,0426337756
寬媽媽滷味,滷味,"一, 三, 二, 五, 六, 日",16:00-04:00,"4.3, >4",,433台中市沙鹿區北勢東路572號,無